building_name,ID,has_ramp,wheelchair,accessible_toilet,has_elevator,y,x
성산홀,17561073,FALSE,TRUE,TRUE,TRUE,35.903230,128.851146
경영 1관,17565571,TRUE,TRUE,TRUE,FALSE,35.900924,128.850879
경영 2관,1984484431,FALSE,TRUE,FALSE,TRUE,35.901058,128.851764
경영대학강당동,17568151,FALSE,TRUE,FALSE,FALSE,35.90075,128.851593
교수학습지원관,17563442,FALSE,TRUE,TRUE,TRUE,35.899706,128.850598
인문 2관,17560761,FALSE,TRUE,FALSE,FALSE,35.898862,128.850287
인문 1관,17565569,FALSE,TRUE,FALSE,FALSE,35.898547,128.849972
재활과학1관,17558687,TRUE,FALSE,TRUE,TRUE,35.899936,128.853113
동편복지관,1095462702,FALSE,TRUE,TRUE,TRUE,35.899435,128.852564
산학협력단 본관,16633998,FALSE,TRUE,TRUE,TRUE,35.898042,128.852578
공학 7관,17565570,FALSE,TRUE,TRUE,TRUE,35.90017,128.854375
공학 6관,17560766,TRUE,FALSE,TRUE,TRUE,35.900244,128.855606
공학 5관,17563348,TRUE,TRUE,TRUE,TRUE,35.899672,128.854736
공학 3관,17563353,TRUE,TRUE,TRUE,TRUE,35.899621,128.855502
공학 2관,17560762,TRUE,TRUE,TRUE,TRUE,35.899111,128.854543
공학 1관,27103334,TRUE,TRUE,TRUE,TRUE,35.899098,128.85564
창업보육센터2호관,24661123,FALSE,TRUE,TRUE,FALSE,35.89939,128.855895
생명과학 3관,17561467,TRUE,FALSE,TRUE,FALSE,35.902709,128.856241
생명과학 5관,1479215574,FALSE,FALSE,TRUE,FALSE,35.902221,128.857007
검도관,17569881,FALSE,FALSE,TRUE,FALSE,35.899008,128.852641
